"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",860,759,521,566,760,553,699,603,569,422,377,429,544,585,516,548,430,482,454,449,427
"Cleared",170,164,124,133,173,113,165,147,135,80,119,129,107,79,78,114,58,45,48,45,59
