"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",310,170,210,207,133,131,148,163,154,143,164,130,148,116,112,65,71,58,182,111,111
"Cleared",186,116,146,141,76,92,79,62,74,81,101,77,90,71,59,44,44,31,101,88,65
