"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",172,240,167,169,252,189,236,238,260,169,171,153,152,171,147,105,90,129,114,79,81
"Cleared",44,65,52,36,75,45,53,61,59,40,68,45,50,37,25,20,12,20,17,11,16
