"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",24422,25695,25374,25115,23182,22592,20359,19629,19726,18435,17410,17264,16388,15728,15070,16160,15821,16668,15988,13809,13773
"Cleared",3261,3358,3099,4186,3282,3285,2951,2769,2430,2131,1404,1869,2003,1970,1917,2061,1853,1915,1878,1997,1841
