"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",130297,137035,139297,135781,125200,117285,105459,101457,100821,94240,89704,86330,87478,85844,83139,93503,99151,101618,101267,95704,85932
"Cleared",13779,15099,14161,17681,14311,13643,10973,12272,10361,8637,6350,6868,8400,8094,8428,8372,8322,8290,8266,7925,6749
