"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",50241,52243,51695,48824,42786,31767,30526,27806,26553,24070,21484,20045,18547,16524,19171,25156,28817,30507,30126,29400,28882
"Cleared",23064,23866,22306,26593,21457,13065,9631,10338,9957,7538,4874,5374,6239,5696,7895,10750,12501,12805,12756,12759,12010
