"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Reported",6717,7219,7639,8076,7305,7462,7746,7679,7743,6693,6387,5840,5902,6355,5115,5129,4743,3817,3752,3543,3324,3286
"Cleared",842,746,931,834,889,1026,1007,910,984,952,841,845,819,876,788,641,531,514,415,395,407,357
