"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Reported",7160,7405,7193,7366,6774,6603,6391,6332,6047,5931,5616,5104,5529,5303,5214,5582,5332,5221,5360,5215,5303,5404
"Cleared",4531,4406,4292,3851,3562,3434,2968,3070,2976,2875,2880,2641,2967,2811,2808,2753,2431,2377,2368,2203,1984,1932
