"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Reported",39199,43039,42931,46382,45443,46213,45209,44167,40365,32246,30753,29709,31700,31728,26812,29158,28624,26246,27416,27141,24321,26348
"Cleared",5064,4604,4856,4406,4687,4575,4429,4294,4287,4066,3859,4090,4124,4119,3806,3690,2902,2353,1859,1818,1440,1432
